,CYYZ,EDDF,EHAM,KATL,KCLT,KDEN,KDFW,KEWR,KIAH,KJFK,KLAS,KLAX,KMCO,KMIA,KORD,KPHX,KSEA,KSFO,LFPG,MMMX,OMDB,RKSI,VIDP,WMKK,ZGGG,ZGSZ,ZSPD
CYYZ,0,326,266,88,23,144,118,72,129,60,165,187,155,133,106,185,149,147,368,151,422,290,354,0,396,0,356
EDDF,326,0,80,268,317,286,267,373,364,324,277,398,288,392,336,0,282,365,127,462,396,381,274,0,323,376,311
EHAM,266,80,0,299,0,0,0,228,298,284,318,325,0,467,298,0,278,323,155,291,402,323,295,290,323,0,304
KATL,88,268,299,0,89,164,165,142,150,178,187,210,177,179,171,179,182,175,289,177,0,366,0,0,0,0,0
KCLT,23,317,0,89,0,172,178,156,160,123,183,193,178,178,163,184,181,187,0,162,0,0,0,0,0,0,0
KDEN,144,286,0,164,172,0,156,186,168,173,164,143,150,166,144,154,156,177,290,164,0,0,0,0,0,0,0
KDFW,118,267,0,165,178,156,46,158,103,143,176,188,180,179,173,178,186,178,287,148,331,296,0,0,0,0,242
KEWR,72,373,228,142,156,186,158,124,182,9,182,216,168,170,149,176,177,241,285,125,317,290,326,0,0,0,0
KIAH,129,364,298,150,160,168,103,182,149,166,162,157,162,158,163,119,175,187,325,143,555,0,0,0,0,0,0
KJFK,60,324,284,178,123,173,143,9,166,0,188,192,170,172,104,199,182,189,316,177,555,384,396,0,324,0,326
KLAS,165,277,318,187,183,164,176,182,162,188,0,146,168,166,170,159,162,147,0,163,0,334,0,0,0,0,0
KLAX,187,398,325,210,193,143,188,216,157,192,146,0,186,204,153,132,161,127,349,171,555,461,0,0,332,342,272
KMCO,155,288,0,177,178,150,180,168,162,170,168,186,81,157,156,185,174,178,0,168,396,0,0,0,0,0,0
KMIA,133,392,467,179,178,166,179,170,158,172,166,204,157,34,172,179,192,165,354,166,396,317,0,0,0,0,0
KORD,106,336,298,171,163,144,173,149,163,104,170,153,156,172,0,175,167,179,296,168,328,360,388,0,0,317,276
KPHX,185,0,0,179,184,154,178,176,119,199,159,132,185,179,175,39,148,147,0,162,0,0,0,0,0,0,0
KSEA,149,282,278,182,181,156,186,177,175,182,162,161,174,192,167,148,0,135,282,163,324,321,0,0,0,0,282
KSFO,147,365,323,175,187,177,178,241,187,189,147,127,178,165,179,147,135,0,356,147,555,330,317,0,396,0,386
LFPG,368,127,155,289,0,290,287,285,325,316,0,349,0,354,296,0,282,356,0,305,516,364,260,0,325,308,354
MMMX,151,462,291,177,162,164,148,125,143,177,163,171,168,166,168,162,163,147,305,0,0,0,0,0,0,0,0
OMDB,422,396,402,0,0,0,331,317,555,555,0,555,396,396,328,0,324,555,516,0,396,421,255,383,338,280,367
RKSI,290,381,323,366,0,0,296,290,0,384,334,461,0,317,360,0,321,330,364,0,421,0,274,264,194,186,216
VIDP,354,274,295,0,0,0,0,326,0,396,0,0,0,0,388,0,0,317,260,0,255,274,0,212,0,0,0
WMKK,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,264,212,0,198,158,153
ZGGG,396,323,323,0,0,0,0,0,0,324,0,332,0,0,0,0,0,396,325,0,338,194,0,198,0,0,193
ZGSZ,0,376,0,0,0,0,0,0,0,0,0,342,0,0,317,0,0,0,308,0,280,186,0,158,0,0,172
ZSPD,356,311,304,0,0,0,242,0,0,326,0,272,0,0,276,0,282,386,354,0,367,216,0,153,193,172,0
