Airport;Position;Passenger
London Heathrow Airport;51.4775, -0.461389;79151723
Istanbul Airport;41.262222, 28.727778;76236980
Paris Charles de Gaulle Airport;49.009722, 2.547778;67421316
Amsterdam Airport Schiphol;52.3, 4.765;61889586
Adolfo Suárez Madrid–Barajas Airport;40.472222, -3.560833;60220982
Frankfurt Airport;50.033333, 8.570556;59359539
Josep Tarradellas Barcelona–El Prat Airport;41.296944, 2.078333;49909544
London Gatwick Airport;51.148056, -0.190278;40897656
"Rome–Fiumicino International Airport ""Leonardo da Vinci""";41.800278, 12.238889;40545240
Munich Airport;48.353889, 11.786111;37037070
Moscow Sheremetyevo Alexander S. Pushkin International Airport;55.972778, 37.414722;36600000
Humberto Delgado Airport;38.774167, -9.134167;3364900
Dublin Airport;53.421389, -6.27;33522493
Paris Orly Airport;48.723333, 2.379444;32294167
Palma de Mallorca Airport;39.551667, 2.738889;31105987
Vienna Airport;48.110833, 16.570833;29533186
Zurich Kloten International Airport;47.464722, 8.549167;28885506
Athens International Airport;37.936389, 23.947222;28174150
Manchester Airport;53.353889, -2.275;28108238
London Stansted Airport;51.885, 0.235;27965262
